"37.7658","-122.3978","2016-06-23T09:00","CO","0.33","PPM"
"37.7658","-122.3978","2016-06-23T10:00","PM2.5","9.0","UG/M3"
"37.7658","-122.3978","2016-06-23T10:00","OZONE","27.0","PPB"
"37.7658","-122.3978","2016-06-23T10:00","NO2","2.0","PPB"
"37.7658","-122.3978","2016-06-23T10:00","CO","0.33","PPM"
"37.7658","-122.3978","2016-06-23T11:00","PM2.5","9.5","UG/M3"
"37.7658","-122.3978","2016-06-23T11:00","OZONE","26.0","PPB"
"37.7658","-122.3978","2016-06-23T12:00","PM2.5","9.4","UG/M3"
"37.7658","-122.3978","2016-06-23T12:00","OZONE","25.0","PPB"
"37.7658","-122.3978","2016-06-23T12:00","NO2","12.0","PPB"
"37.7658","-122.3978","2016-06-23T12:00","CO","0.51","PPM"
"37.7658","-122.3978","2016-06-23T13:00","PM2.5","9.0","UG/M3"
"37.7658","-122.3978","2016-06-23T13:00","NO2","25.0","PPB"
"37.7658","-122.3978","2016-06-23T13:00","OZONE","24.0","PPB"
"37.7658","-122.3978","2016-06-23T13:00","CO","0.44","PPM"
"37.7658","-122.3978","2016-06-23T14:00","PM2.5","8.9","UG/M3"
"37.7658","-122.3978","2016-06-23T14:00","OZONE","23.0","PPB"
"37.7658","-122.3978","2016-06-23T14:00","NO2","13.0","PPB"
"37.7658","-122.3978","2016-06-23T14:00","CO","0.4","PPM"
"37.7658","-122.3978","2016-06-23T15:00","PM2.5","8.7","UG/M3"
"37.7658","-122.3978","2016-06-23T15:00","OZONE","22.0","PPB"
"37.7658","-122.3978","2016-06-23T15:00","NO2","8.0","PPB"
"37.7658","-122.3978","2016-06-23T15:00","CO","0.42","PPM"
"37.7658","-122.3978","2016-06-23T16:00","PM2.5","8.1","UG/M3"
"37.7658","-122.3978","2016-06-23T16:00","OZONE","23.0","PPB"
"37.7658","-122.3978","2016-06-23T16:00","NO2","8.0","PPB"
"37.7658","-122.3978","2016-06-23T16:00","CO","0.43","PPM"
"37.7658","-122.3978","2016-06-23T17:00","PM2.5","7.4","UG/M3"
"37.7658","-122.3978","2016-06-23T17:00","OZONE","23.0","PPB"
"37.7658","-122.3978","2016-06-23T17:00","NO2","6.0","PPB"
"37.7658","-122.3978","2016-06-23T17:00","CO","0.41","PPM"
"37.7658","-122.3978","2016-06-23T18:00","PM2.5","7.0","UG/M3"
"37.7658","-122.3978","2016-06-23T18:00","OZONE","25.0","PPB"
"37.7658","-122.3978","2016-06-23T18:00","NO2","5.0","PPB"
"37.7658","-122.3978","2016-06-23T18:00","CO","0.42","PPM"
"37.7658","-122.3978","2016-06-23T19:00","PM2.5","6.7","UG/M3"
"37.7658","-122.3978","2016-06-23T19:00","OZONE","25.0","PPB"
"37.7658","-122.3978","2016-06-23T19:00","NO2","4.0","PPB"
"37.7658","-122.3978","2016-06-23T19:00","CO","0.4","PPM"
"37.7658","-122.3978","2016-06-23T20:00","PM2.5","6.7","UG/M3"
"37.7658","-122.3978","2016-06-23T20:00","OZONE","25.0","PPB"
