Date,Open,High,Low,Close,Volume,Adj Close
2016-07-06,50.779999,51.540001,50.389999,51.380001,28151300,51.380001
2016-07-05,50.830002,51.279999,50.740002,51.169998,24400400,51.169998
2016-07-01,51.130001,51.720001,51.07,51.16,21396300,51.16
2016-06-30,50.720001,51.299999,50.50,51.169998,28334000,51.169998
2016-06-29,49.91,50.720001,49.799999,50.540001,31272000,50.540001
2016-06-28,48.919998,49.470001,48.669998,49.439999,36952600,49.439999
2016-06-27,49.099998,49.150002,48.040001,48.43,50216300,48.43
2016-06-24,49.810001,50.939999,49.52,49.830002,125445600,49.830002
2016-06-23,51.279999,52.060001,51.150002,51.91,28679600,51.91
2016-06-22,51.080002,51.459999,50.950001,50.990002,28713300,50.990002
2016-06-21,50.200001,51.43,50.16,51.189999,33989400,51.189999
2016-06-20,50.639999,50.830002,50.029999,50.07,35559500,50.07
2016-06-17,50.41,50.43,49.82,50.130001,45670500,50.130001
2016-06-16,49.52,50.470001,49.509998,50.389999,31101800,50.389999
2016-06-15,49.779999,50.119999,49.689999,49.689999,33559600,49.689999
2016-06-14,49.900002,50.099998,49.57,49.830002,42159100,49.830002
2016-06-13,49.580002,50.720001,49.060001,50.139999,82852600,50.139999
2016-06-10,51.049999,52.049999,51.040001,51.48,25698900,51.48
2016-06-09,52.00,52.00,51.490002,51.619999,20203000,51.619999
2016-06-08,52.02,52.439999,51.869999,52.040001,21089400,52.040001
2016-06-07,52.240002,52.73,52.099998,52.099998,20794000,52.099998
2016-06-06,51.990002,52.349998,51.889999,52.130001,18109300,52.130001
2016-06-03,52.380001,52.419998,51.599998,51.790001,23081300,51.790001
2016-06-02,52.639999,52.740002,51.84,52.48,22565300,52.48
2016-06-01,52.439999,52.950001,52.439999,52.849998,24772900,52.849998
2016-05-31,52.259998,53.00,52.080002,53.00,37137700,53.00
2016-05-27,51.919998,52.32,51.77,52.32,17653700,52.32
2016-05-26,51.93,51.98,51.360001,51.889999,24182900,51.889999
2016-05-25,51.919998,52.490002,51.790001,52.119999,24040200,52.119999
