rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,atms_scheduled,atms_charter,terminal_scheduled_pax,terminal_charter_pax,transit_scheduled_pax,transit_charter_pax,scheduled_freight,charter_freight,scheduled_mail,charter_mail
05-May-2016 09:24,201603,Other UK Airports             ,GLASGOW                       , 6481 , 558 , 630188 , 29299 , 170 , 472 , 993.598 , 54.22 , 6.809 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,GLOUCESTERSHIRE               , 90 , 70 , 868 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,HUMBERSIDE                    , 346 , 426 , 12743 , 3352 , 30 , 0 , 2.453 , 8.415 , 0 , 0.008 
05-May-2016 09:24,201603,Other UK Airports             ,INVERNESS                     , 825 , 324 , 52494 , 7 , 102 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,ISLAY                         , 132 , 6 , 2094 , 0 , 22 , 0 , 15.846 , 0 , 5.709 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,ISLES OF SCILLY (ST.MARYS)    , 738 , 30 , 5670 , 0 , 0 , 0 , 7.158 , 0 , 23.301 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,KIRKWALL                      , 929 , 176 , 12054 , 0 , 857 , 129 , 2.649 , 0 , 2.413 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,LANDS END (ST JUST)           , 579 , 34 , 4260 , 0 , 16 , 0 , 7.1 , 0 , 23.2 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,LEEDS BRADFORD                , 2141 , 83 , 218395 , 2672 , 4 , 70 , 0.783 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,LERWICK (TINGWALL)            , 124 , 84 , 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,LIVERPOOL (JOHN LENNON)       , 3039 , 104 , 376837 , 543 , 13 , 0 , 29.038 , 0.9 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,LYDD                          , 6 , 12 , 33 , 19 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,MANCHESTER                    , 12348 , 791 , 1588572 , 153984 , 4271 , 279 , 8140.514 , 240.31 , 260.358 , 0.032 
05-May-2016 09:24,201603,Other UK Airports             ,NEWCASTLE                     , 2652 , 280 , 262439 , 36417 , 128 , 265 , 200.406 , 88.325 , 428.302 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,NEWQUAY                       , 425 , 98 , 18564 , 0 , 27 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,NORWICH                       , 715 , 1296 , 20707 , 12858 , 0 , 0 , 0 , 31.574 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,OXFORD (KIDLINGTON)           , 2 , 19 , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,PRESTWICK                     , 285 , 19 , 38596 , 5 , 19 , 364 , 842.663 , 192.969 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,SCATSTA                       , 0 , 663 , 0 , 14525 , 0 , 0 , 0 , 39.181 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,SHOREHAM                      , 0 , 47 , 0 , 57 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,SOUTHAMPTON                   , 2863 , 23 , 144776 , 1637 , 0 , 0 , 16.221 , 0 , 4.443 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,STORNOWAY                     , 548 , 171 , 9931 , 0 , 186 , 0 , 8.959 , 0 , 0.154 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,SUMBURGH                      , 571 , 679 , 12774 , 4228 , 0 , 446 , 18.979 , 3.314 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,TIREE                         , 150 , 16 , 793 , 0 , 29 , 0 , 1.237 , 0 , 3.362 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,WICK JOHN O GROATS            , 175 , 37 , 1898 , 0 , 0 , 19 , 0.018 , 0 , 0 , 0 
