rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_fixed_wing_this_period,total_pax_fixed_wing_last_period,total_pax_fixed_wing_percent_change,total_pax_rotary_wing_this_period,total_pax_rotary_wing_last_period,total_pax_rotary_wing_percent_change,total_atms_fixed_wing_this_period,total_atms_fixed_wing_last_period,total_atms_fixed_wing_percent_change,total_atms_rotary_wing_this_period,total_atms_rotary_wing_last_period,total_atms_rotary_wing_percent_change
05-May-2016 09:32,201603,201503,Other UK Airports             ,DUNDEE                        , 1623 , 1386 , 17.09957 , 0 , 0 ,Null, 99 , 98 , 1.020408 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,DURHAM TEES VALLEY            , 11957 , 11996 ,-0.3251084 , 0 , 0 ,Null, 352 , 341 , 3.225806 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   , 281902 , 258473 , 9.064389 , 0 , 0 ,Null, 4184 , 4131 , 1.282982 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,EDINBURGH                     , 927127 , 790242 , 17.32191 , 0 , 0 ,Null, 9115 , 8413 , 8.344229 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,EXETER                        , 54347 , 55107 ,-1.379135 , 0 , 0 ,Null, 925 , 974 ,-5.030801 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,GLASGOW                       , 660129 , 606565 , 8.83071 , 0 , 0 ,Null, 6669 , 6079 , 9.705544 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,GLOUCESTERSHIRE               , 868 , 1156 ,-24.91349 , 0 , 0 ,Null, 90 , 100 ,-10 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,HUMBERSIDE                    , 13504 , 13223 , 2.125085 , 2621 , 4356 ,-39.83012 , 351 , 325 , 8 , 368 , 614 ,-40.06515 
05-May-2016 09:32,201603,201503,Other UK Airports             ,INVERNESS                     , 52603 , 55905 ,-5.906448 , 0 , 90 ,Null, 826 , 878 ,-5.922551 , 0 , 6 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,ISLAY                         , 2116 , 2210 ,-4.253394 , 0 , 0 ,Null, 132 , 134 ,-1.492537 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,KIRKWALL                      , 12930 , 12818 , 0.8737713 , 110 , 0 ,Null, 931 , 873 , 6.643757 , 11 , 3 , 266.6667 
05-May-2016 09:32,201603,201503,Other UK Airports             ,LEEDS BRADFORD                , 221141 , 205718 , 7.497156 , 0 , 0 ,Null, 2166 , 2226 ,-2.695418 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,LERWICK (TINGWALL)            , 318 , 289 , 10.0346 , 0 , 0 ,Null, 124 , 94 , 31.91489 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,LIVERPOOL (JOHN LENNON)       , 377393 , 320751 , 17.65918 , 0 , 0 ,Null, 3053 , 2437 , 25.27698 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,LYDD                          , 52 , 0 ,Null, 0 , 0 ,Null, 8 , 0 ,Null, 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,MANCHESTER                    , 1747106 , 1574561 , 10.95829 , 0 , 0 ,Null, 13121 , 12187 , 7.663904 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,NEWCASTLE                     , 299249 , 300766 ,-0.5043788 , 0 , 0 ,Null, 2918 , 3059 ,-4.609349 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,NEWQUAY                       , 18591 , 16284 , 14.16728 , 0 , 0 ,Null, 425 , 390 , 8.974359 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,NORWICH                       , 24037 , 22414 , 7.24101 , 9528 , 7097 , 34.25391 , 737 , 706 , 4.390935 , 1135 , 935 , 21.39038 
05-May-2016 09:32,201603,201503,Other UK Airports             ,OXFORD (KIDLINGTON)           , 8 , 0 ,Null, 0 , 0 ,Null, 7 , 0 ,Null, 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,PRESTWICK                     , 38984 , 24236 , 60.85163 , 0 , 0 ,Null, 304 , 213 , 42.723 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,SCATSTA                       , 8063 , 13026 ,-38.10072 , 6462 , 10946 ,-40.96474 , 260 , 382 ,-31.93717 , 401 , 693 ,-42.13564 
05-May-2016 09:32,201603,201503,Other UK Airports             ,SOUTHAMPTON                   , 146413 , 148915 ,-1.680153 , 0 , 0 ,Null, 2878 , 2934 ,-1.908657 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,STORNOWAY                     , 10117 , 10614 ,-4.682495 , 0 , 0 ,Null, 548 , 528 , 3.787879 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,SUMBURGH                      , 13647 , 19373 ,-29.5566 , 3801 , 1540 , 146.8182 , 605 , 692 ,-12.57225 , 275 , 112 , 145.5357 
05-May-2016 09:32,201603,201503,Other UK Airports             ,TIREE                         , 822 , 640 , 28.4375 , 0 , 0 ,Null, 150 , 80 , 87.5 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Other UK Airports             ,WICK JOHN O GROATS            , 1898 , 2054 ,-7.594937 , 19 , 60 ,-68.33334 , 175 , 176 ,-0.5681818 , 4 , 13 ,-69.23077 
