rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_atms_this_period,atms_passenger_aircraft_this_period,atms_cargo_aircraft_this_period,total_atms_last_period,atms_passenger_aircraft_last_period,atms_cargo_aircraft_last_period,total_atms_percent,atms_passenger_aircraft_percent,atms_cargo_aircraft_percent
05-May-2016 09:27,201603,201503,Other UK Airports             ,LEEDS BRADFORD                , 2166 , 2166 , 0 , 2226 , 2226 , 0 ,-2.695418 ,-2.695418 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,LERWICK (TINGWALL)            , 124 , 124 , 0 , 94 , 94 , 0 , 31.91489 , 31.91489 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,LIVERPOOL (JOHN LENNON)       , 3053 , 3049 , 4 , 2437 , 2437 , 0 , 25.27698 , 25.11284 ,Null
05-May-2016 09:27,201603,201503,London Area Airports          ,LONDON CITY                   , 6924 , 6924 , 0 , 7301 , 7301 , 0 ,-5.163676 ,-5.163676 ,Null
05-May-2016 09:27,201603,201503,London Area Airports          ,LUTON                         , 7620 , 7458 , 162 , 6052 , 5915 , 137 , 25.90879 , 26.08622 , 18.24817 
05-May-2016 09:27,201603,201503,Other UK Airports             ,LYDD                          , 8 , 8 , 0 , 0 , 0 , 0 ,Null,Null,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,MANCHESTER                    , 13121 , 13041 , 80 , 12187 , 12114 , 73 , 7.663904 , 7.652303 , 9.589041 
05-May-2016 09:27,201603,201503,Other UK Airports             ,NEWCASTLE                     , 2918 , 2787 , 131 , 3059 , 2934 , 125 ,-4.609349 ,-5.010225 , 4.8 
05-May-2016 09:27,201603,201503,Other UK Airports             ,NEWQUAY                       , 425 , 425 , 0 , 390 , 390 , 0 , 8.974359 , 8.974359 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,NORWICH                       , 1872 , 1835 , 37 , 1641 , 1604 , 37 , 14.07678 , 14.4015 , 0 
05-May-2016 09:27,201603,201503,Other UK Airports             ,OXFORD (KIDLINGTON)           , 7 , 7 , 0 , 0 , 0 , 0 ,Null,Null,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,PRESTWICK                     , 304 , 238 , 66 , 213 , 141 , 72 , 42.723 , 68.79433 ,-8.333333 
05-May-2016 09:27,201603,201503,Other UK Airports             ,SCATSTA                       , 661 , 657 , 4 , 1075 , 1069 , 6 ,-38.51163 ,-38.54069 ,-33.33333 
05-May-2016 09:27,201603,201503,Other UK Airports             ,SHOREHAM                      , 47 , 47 , 0 , 16 , 16 , 0 , 193.75 , 193.75 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,SOUTHAMPTON                   , 2878 , 2878 , 0 , 2934 , 2934 , 0 ,-1.908657 ,-1.908657 ,Null
05-May-2016 09:27,201603,201503,London Area Airports          ,SOUTHEND                      , 651 , 651 , 0 , 741 , 741 , 0 ,-12.14575 ,-12.14575 ,Null
05-May-2016 09:27,201603,201503,London Area Airports          ,STANSTED                      , 13166 , 12182 , 984 , 11789 , 11004 , 785 , 11.68038 , 10.7052 , 25.35032 
05-May-2016 09:27,201603,201503,Other UK Airports             ,STORNOWAY                     , 548 , 548 , 0 , 528 , 528 , 0 , 3.787879 , 3.787879 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,SUMBURGH                      , 880 , 877 , 3 , 804 , 804 , 0 , 9.452736 , 9.079602 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,TIREE                         , 150 , 149 , 1 , 80 , 80 , 0 , 87.5 , 86.25 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,WICK JOHN O GROATS            , 179 , 179 , 0 , 189 , 189 , 0 ,-5.291005 ,-5.291005 ,Null
